epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2033,1.83558,3.28633,1.35892,0.15244,0.23647,0.15746,0.09011,1.44679,2.49909,1.23539,0.00015815,0.00015815,0.00015815
2,245.799,1.44593,2.08087,1.19819,0.26539,0.36939,0.27461,0.16559,1.39877,2.13322,1.2365,0.000310544,0.000310544,0.000310544
3,296.755,1.32299,1.62135,1.14595,0.29422,0.38971,0.28401,0.17368,1.34752,2.06277,1.22197,0.000456654,0.000456654,0.000456654
4,354.552,1.23745,1.34556,1.11124,0.33174,0.36352,0.32792,0.20858,1.31217,2.07865,1.19297,0.000447726,0.000447726,0.000447726
5,410.323,1.17982,1.18607,1.08991,0.39283,0.41092,0.38529,0.24365,1.31315,1.9427,1.20141,0.000438301,0.000438301,0.000438301
6,465.589,1.13525,1.071,1.07349,0.40348,0.40935,0.41009,0.25804,1.32639,1.8519,1.20922,0.000428876,0.000428876,0.000428876
